Do. Jän. 25 15:28:11 2024 1706192891518 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "version " "626"
Do. Jän. 25 15:28:11 2024 1706192891530 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "cwGain" QVariant(double, 0)
Do. Jän. 25 15:28:11 2024 1706192891530 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "dircon_server_base_port" QVariant(qlonglong, 36866)
Do. Jän. 25 15:28:11 2024 1706192891530 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "dircon_yes" QVariant(bool, true)
Do. Jän. 25 15:28:11 2024 1706192891530 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "dkn_endurun_treadmill" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891531 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "domyos_bike_500_profile_v1" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891531 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "domyos_bike_cadence_filter" QVariant(double, 0)
Do. Jän. 25 15:28:11 2024 1706192891531 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "domyos_bike_display_calories" QVariant(bool, true)
Do. Jän. 25 15:28:11 2024 1706192891531 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "domyos_elliptical_inclination" QVariant(bool, true)
Do. Jän. 25 15:28:11 2024 1706192891531 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "domyos_elliptical_speed_ratio" QVariant(double, 1)
Do. Jän. 25 15:28:11 2024 1706192891531 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "domyos_treadmill_buttons" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891532 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "domyos_treadmill_display_invert" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891532 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "domyos_treadmill_distance_display" QVariant(bool, true)
Do. Jän. 25 15:28:11 2024 1706192891532 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "echelon_resistance_gain" QVariant(double, 1)
Do. Jän. 25 15:28:11 2024 1706192891532 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "echelon_resistance_offset" QVariant(double, 0)
Do. Jän. 25 15:28:11 2024 1706192891532 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "echelon_watttable" QVariant(QString, "Echelon")
Do. Jän. 25 15:28:11 2024 1706192891533 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "elite_rizer_gain" QVariant(double, 1)
Do. Jän. 25 15:28:11 2024 1706192891533 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "elite_rizer_name" QVariant(QString, "Disabled")
Do. Jän. 25 15:28:11 2024 1706192891533 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "elite_sterzo_smart_name" QVariant(QString, "Disabled")
Do. Jän. 25 15:28:11 2024 1706192891533 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "eslinker_cadenza" QVariant(bool, true)
Do. Jän. 25 15:28:11 2024 1706192891533 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "eslinker_costaway" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891534 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "eslinker_ypoo" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891534 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "fakedevice_elliptical" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891534 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "fakedevice_rower" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891534 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "fakedevice_treadmill" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891534 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "filter_device" QVariant(QString, "Disabled")
Do. Jän. 25 15:28:11 2024 1706192891534 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "fitfiu_mc_v460" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891535 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "fitmetria_fanfit_enable" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891535 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "fitmetria_fanfit_max" QVariant(double, 100)
Do. Jän. 25 15:28:11 2024 1706192891535 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "fitmetria_fanfit_min" QVariant(double, 0)
Do. Jän. 25 15:28:11 2024 1706192891535 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "fitmetria_fanfit_mode" QVariant(QString, "Heart")
Do. Jän. 25 15:28:11 2024 1706192891535 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "fitplus_bike" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891536 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "fitshow_anyrun" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891536 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "fitshow_treadmill_miles" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891536 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "fitshow_truetimer" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891536 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "fitshow_user_id" QVariant(qlonglong, 5034)
Do. Jän. 25 15:28:11 2024 1706192891536 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "floating_height" QVariant(qlonglong, 210)
Do. Jän. 25 15:28:11 2024 1706192891537 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "floating_startup" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891537 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "floating_transparency" QVariant(qlonglong, 80)
Do. Jän. 25 15:28:11 2024 1706192891537 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "floating_width" QVariant(qlonglong, 370)
Do. Jän. 25 15:28:11 2024 1706192891537 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "flywheel_filter" QVariant(qlonglong, 2)
Do. Jän. 25 15:28:11 2024 1706192891537 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "flywheel_life_fitness_ic8" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891538 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "ftms_accessory_name" QVariant(QString, "Disabled")
Do. Jän. 25 15:28:11 2024 1706192891538 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "ftms_rower" QVariant(QString, "Disabled")
Do. Jän. 25 15:28:11 2024 1706192891538 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "ftp" QVariant(double, 200)
Do. Jän. 25 15:28:11 2024 1706192891538 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "fytter_ri08_bike" QVariant(bool, true)
Do. Jän. 25 15:28:11 2024 1706192891538 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "garmin_companion" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891539 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "gears_current_value" QVariant(qlonglong, 0)
Do. Jän. 25 15:28:11 2024 1706192891539 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "gears_current_value_f" QVariant(double, 0)
Do. Jän. 25 15:28:11 2024 1706192891539 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "gears_from_bike" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891539 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "gears_gain" QVariant(double, 1)
Do. Jän. 25 15:28:11 2024 1706192891539 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "gears_restore_value" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891539 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "gem_module_inclination" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891540 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "gpx_loop" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891540 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "hammer_racer_s" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891540 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "heart_ignore_builtin" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891540 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "heart_max_override_enable" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891540 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "heart_max_override_value" QVariant(double, 195)
Do. Jän. 25 15:28:11 2024 1706192891541 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "heart_rate_belt_name" QVariant(QString, "TICKR 5410")
Do. Jän. 25 15:28:11 2024 1706192891541 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "heart_rate_zone1" QVariant(double, 70)
Do. Jän. 25 15:28:11 2024 1706192891541 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "heart_rate_zone2" QVariant(double, 80)
Do. Jän. 25 15:28:11 2024 1706192891541 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "heart_rate_zone3" QVariant(double, 90)
Do. Jän. 25 15:28:11 2024 1706192891541 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "heart_rate_zone4" QVariant(double, 100)
Do. Jän. 25 15:28:11 2024 1706192891542 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "hertz_xr_770" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891542 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "horizon_gr7_cadence_multiplier" QVariant(double, 1)
Do. Jän. 25 15:28:11 2024 1706192891542 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "horizon_paragon_x" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891542 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "horizon_treadmill_7_8" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891542 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "horizon_treadmill_disable_pause" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891543 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "horizon_treadmill_force_ftms" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891543 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "horizon_treadmill_profile_user1" QVariant(QString, "user1")
Do. Jän. 25 15:28:11 2024 1706192891543 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "horizon_treadmill_profile_user2" QVariant(QString, "user2")
Do. Jän. 25 15:28:11 2024 1706192891543 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "horizon_treadmill_profile_user3" QVariant(QString, "user3")
Do. Jän. 25 15:28:11 2024 1706192891543 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "horizon_treadmill_profile_user4" QVariant(QString, "user4")
Do. Jän. 25 15:28:11 2024 1706192891543 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "horizon_treadmill_profile_user5" QVariant(QString, "user5")
Do. Jän. 25 15:28:11 2024 1706192891544 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "horizon_treadmill_suspend_stats_pause" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891544 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "hrm_lastdevice_address" QVariant(QString, "{5c56bb47-758b-bc64-2486-ec59bd12c241}")
Do. Jän. 25 15:28:11 2024 1706192891544 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "hrm_lastdevice_name" QVariant(QString, "TICKR 5410")
Do. Jän. 25 15:28:11 2024 1706192891544 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "iconcept_elliptical" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891544 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "inspire_peloton_formula" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891545 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "inspire_peloton_formula2" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891545 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "instant_power_on_pause" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891545 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "ios_cache_heart_device" QVariant(bool, true)
Do. Jän. 25 15:28:11 2024 1706192891545 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "ios_peloton_workaround" QVariant(bool, true)
Do. Jän. 25 15:28:11 2024 1706192891545 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "jll_IC400_bike" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891546 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "jtx_fitness_sprint_treadmill" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891546 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "kcal_ignore_builtin" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891546 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "kingsmith_encrypt_v2" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891546 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "kingsmith_encrypt_v3" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891546 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "kingsmith_encrypt_v4" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891546 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "kingsmith_encrypt_v5" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891547 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "log_debug" QVariant(bool, true)
Do. Jän. 25 15:28:11 2024 1706192891547 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "m3i_bike_id" QVariant(qlonglong, 256)
Do. Jän. 25 15:28:11 2024 1706192891547 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "m3i_bike_kcal" QVariant(bool, true)
Do. Jän. 25 15:28:11 2024 1706192891547 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "m3i_bike_qt_search" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891547 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "m3i_bike_speed_buffsize" QVariant(qlonglong, 90)
Do. Jän. 25 15:28:11 2024 1706192891548 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "maps_type" QVariant(QString, "3D")
Do. Jän. 25 15:28:11 2024 1706192891548 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "miles_unit" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891548 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "nordictrack_10_treadmill" QVariant(bool, true)
Do. Jän. 25 15:28:11 2024 1706192891548 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "nordictrack_2950_ip" QVariant(QString, "")
